"id_publication","contenu","date_publication","auteur","nombre_likes","nombre_commentaires"
2,"Voici une nouvelle photo de mon voyage.","2023-02-20","JaneSmith","14","1"
3,"Quelqu’un a des recommandations de livres ?","2023-03-05","Alex99","3","0"
10,"Petit bug résolu, quel soulagement !","2023-10-05","AliceB","3","1"
12,"Nouvelle toile en cours de création.","2023-12-22","SophiaL","2","0"
15,"Top 5 de mes jeux vidéo préférés.","2024-03-17","LucasF","2","0"
8,"Entraînement intensif aujourd’hui !","2023-08-18","LauraP","1","1"
9,"Dernier film vu au cinéma : incroyable !","2023-09-02","TomR","1","1"
11,"Recette du jour : tarte aux pommes.","2023-11-12","RyanS","1","1"
1,"Bonjour tout le monde !","2023-01-15","JohnDoe","1","0"
4,"Quel beau coucher de soleil !","2023-04-15","EmmaW","1","1"
5,"Nouvelle chanson en préparation.","2023-05-20","MikeT","1","1"
6,"Quel est votre livre préféré ?","2023-06-25","SarahG","1","1"
7,"Mon projet de développement avance bien.","2023-07-10","DavidK","1","1"
16,"Nouveau shooting photo terminé !","2024-04-22","EllaC","1","0"
13,"Quel est votre langage de programmation préféré ?","2024-01-07","NathanM","0","0"
20,"Expo photo en préparation.","2024-08-31","EthanW","0","0"
17,"Appli mobile en développement.","2024-05-07","JamesN","0","0"
18,"Live gaming ce soir sur Twitch.","2024-06-12","LiamB","0","0"
19,"Répétition avant le spectacle !","2024-07-27","MiaV","0","0"
14,"Belle balade à vélo ce matin !","2024-02-12","OliviaD","0","0"
